repeticao,modo,n,tempoMontagemMs,tempoBuscaTelefoneMs,tempoBuscaNomeMs,tempoRemocaoMs
1,nao-ordenada,10000,34.4864,1.9462,1.1082,1.0386
2,nao-ordenada,10000,32.6598,1.6416,1.3518,1.0288
3,nao-ordenada,10000,35.6779,2.4601,2.1068,1.8171
1,ordenada,10000,959.2227,0.5913,0.5983,0.6289
2,ordenada,10000,961.5603,0.5849,0.5995,1.0781
3,ordenada,10000,1072.8396,0.8623,0.9115,0.7271
1,nao-ordenada,25000,59.1761,4.1928,3.869,5.4203
2,nao-ordenada,25000,61.4783,5.5302,3.9508,3.9615
3,nao-ordenada,25000,57.8905,3.9285,3.0776,2.7816
1,ordenada,25000,9034.8377,4.7335,3.3659,4.2662
2,ordenada,25000,8590.5368,2.8232,3.8392,3.9314
3,ordenada,25000,6955.8066,2.5532,1.9,2.3604
1,nao-ordenada,50000,85.4882,6.6792,2.633,7.6943
2,nao-ordenada,50000,89.2657,6.9765,0.7533,7.167
3,nao-ordenada,50000,91.4743,7.4875,2.1509,8.3369
1,ordenada,50000,66983.9201,5.6159,5.1407,9.4203
2,ordenada,50000,65166.8602,5.6915,5.1778,9.0205
3,ordenada,50000,64847.4057,6.0146,5.3489,9.1309
1,nao-ordenada,100000,153.2388,5.4543,2.1846,8.462
2,nao-ordenada,100000,145.9843,6.2983,2.0732,8.0677
3,nao-ordenada,100000,144.2659,6.0489,1.9508,8.7632
1,ordenada,100000,251817.0096,10.841701,11.860699,16.670999
2,ordenada,100000,252445.474401,10.6781,9.3485,18.3194
3,ordenada,100000,284840.078201,10.3122,9.0842,15.4026
